The Sum is 102301023======================
DCS,probability
0,0
1,0.000000009775073314760499
2,0.000000009775073314760499
3,0.000000009775073314760499
4,0.000000009775073314760499
5,0.000000009775073314760499
6,0.000000009775073314760499
7,0.000000009775073314760499
8,0.000000009775073314760499
9,0.000000009775073314760499
10,0.000000009775073314760499
11,0.000000029325219944281495
12,0.000000019550146629520998
13,0.000000009775073314760499
14,0.000000019550146629520998
15,0.00000010752580646236548
16,0.00000035190263933137794
17,0.0000011827838710860204
18,0.000005464265982951119
19,0.000019452395896373392
20,0.00006281462112065096
21,0.00018773028300997537
22,0.000503689977762979
23,0.0012258430690375403
24,0.0027450556383976726
25,0.005626688601149179
26,0.010620529180827449
27,0.01853188701739571
28,0.029809203374241918
29,0.04442729766250725
30,0.06127761791785797
31,0.07843259788320983
32,0.09322925343571589
33,0.1031991635117862
34,0.10640064664846997
35,0.10206850033161448
36,0.09129973216396868
37,0.0762608111944296
38,0.05942543702617715
39,0.04330294917969686
40,0.029459197099133604
41,0.018718522492194432
42,0.011092068942458181
43,0.006164102581848082
44,0.0032005838299388268
45,0.0015331322737603514
46,0.000688986267517579
47,0.0002958914692378003
48,0.00011718357889734886
49,0.00004410513079619937
50,0.0000153175398842297
51,0.000005180788856823064
52,0.0000011534586511417388
53,0.00000035190263933137794
54,0.000000039100293259041995
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
